Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Amargosa Canyon speckled dace,Rhinichthys osculus ssp. 1,"intermittent or perennial stream, pond, lake or jurisdictional waters feature",No,Fish,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Amargosa nitrophila,Nitrophila mohavensis,alkaline flats,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Amargosa nitrophila (FE; SE; CRPR 1B.1, Blooming Period: May - Nov; Habitat description: alkaline flats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Amargosa nitrophila (FE; SE; CRPR 1B.1, Blooming Period: May - Nov; Habitat description: alkaline flats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Amargosa nitrophila): A qualified botanist will conduct a rare plant survey for Amargosa nitrophila within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Amargosa nitrophila): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Amargosa pupfish,Cyprinodon nevadensis amargosae,alkaline flats,No,Fish,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Amargosa vole,Microtus californicus scirpensis,"wetland marshes, wetland vegetation dominated by bulrush",Yes,Mammal,--,--,Notify SME if found on USFS,Pre-activity Survey Required,"Amargosa vole (FE; SE; Habitat description: wetland marshes, wetland vegetation dominated by bulrush) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,--,"Amargosa vole (FE; SE; Habitat description: wetland marshes, wetland vegetation dominated by bulrush) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
American badger,Taxidea taxus,"dry, open grasslands, fields, pastures, forest glades and meadows",Yes,Mammal,Formula,Work area,--,#REF!,"American badger (CDFW SSC; SBNF:WL; Habitat description: dry, open grasslands, fields, pastures, forest glades and meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"American badger (CDFW SSC; SBNF:WL; Habitat description: dry, open grasslands, fields, pastures, forest glades and meadows) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Mammal-1; 
General Measures and Standard OMP BMPs. ",General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
American bugseed,Corispermum americanum var. americanum,"sandy soils, dunes",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
American manna grass,Glyceria grandis,"wet places, meadows, lake and stream margins",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
American peregrine falcon,Falco peregrinus anatum,"canyons, cliffs, tall buildings, bridges and other tall structures",Yes,Bird,Formula,Work area,"There is one known nest record for American peregrine falcon on the Big Creek Powerhouse. An LOP is not required in this area due to the increased ambient noise levels associated with the Powerhouse. If this record comes up in reviews, mention it as an ""occurrence record"" rather than a nest record. State that suitable nesting habitat is present, and apply the standard nest survey measure.  

Apply LOPs (schedule limitations) in the following circumstances, regardless of habitat suitability within 0.25-mi buffer around Sunset Point. ",Pre-activity Survey Required,"American peregrine falcon (CDFW SSC; SNF: SCC; Habitat description: canyons, cliffs, tall buildings, bridges and other tall structures) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"American peregrine falcon (CDFW SSC; SNF: SCC; Habitat description: canyons, cliffs, tall buildings, bridges and other tall structures) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (known nest). ","Sunset Point Peregrine Falcon LOP; 
General Measures and Standard OMP BMPs. ","Schedule Limitation (American peregrine falcon): Schedule all work between September 1 and February 14; if the project cannot comply with these dates, contact SCE ED. 

General Measures and Standard OMP BMPs. ","American peregrine falcon (CDFW SSC; SNF: SCC; Habitat description: canyons, cliffs, tall buildings, bridges and other tall structures) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ",General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--
American riella,Riella americana,submerged aquatic in temporary pools and streams in arid and semiarid areas,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
American saw-wort,Saussurea americana,"meadows, slopes",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
American scheuchzeria,Scheuchzeria palustris,"sphagnum bogs, floating mats, and on lake margins at elevations ranging from 4,495 to 6,560 feet",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"American scheuchzeria (FSS; CRPR 2B.1, Blooming Period: Jul - Aug; Habitat description: sphagnum bogs, floating mats, and on lake margins at elevations ranging from 4,495 to 6,560 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"American scheuchzeria (FSS; CRPR 2B.1, Blooming Period: Jul - Aug; Habitat description: sphagnum bogs, floating mats, and on lake margins at elevations ranging from 4,495 to 6,560 feet) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (American scheuchzeria): A biological survey is required. 

FSS Plant Avoidance (American scheuchzeria): If American scheuchzeria is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
American white pelican,Pelecanus erythrorhynchos,"inland shallow freshwater lakes, fresh water reservoirs, wet prairies, marshes, river edges",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Anacapa Island deer mouse,Peromyscus maniculatus anacapae,"native vegetation with loose, soft soils",No,Mammal,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Anderson's manzanita,Arctostaphylos andersonii,"open sites or forest edge, redwood or mixed-evergreen forest, occasionally in chaparral near coast",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Andrew's marble butterfly ,Euchloe hyantis andrewsi ,"subalpine meadows, rocky ridges, and high-altitude habitats",Yes,Invertebrate,Formula,Work area,--,Pre-activity Survey Required,"Andrew's marble butterfly  (SBNF:WL; Habitat description: subalpine meadows, rocky ridges, and high-altitude habitats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Andrew's marble butterfly  (SBNF:WL; Habitat description: subalpine meadows, rocky ridges, and high-altitude habitats) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ",General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
angel's trumpets,Acleisanthes longiflora,slopes and washes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
angel's hair lichen,Ramalina thrausta,coniferous forests,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
annual rock-nettle,Eucnide rupestris,"crevices, cliffs",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Anthony Peak lupine,Lupinus antoninus,open fir forest,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Anthony Peak lupine (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: open fir forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Anthony Peak lupine (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: open fir forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Anthony Peak lupine): A biological survey is required. 

FSS Plant Avoidance (Anthony Peak lupine): If Anthony Peak lupine is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Antioch Dunes buckwheat,Eriogonum nudum var. psychicola,sand,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Antioch Dunes evening-primrose,Oenothera deltoides ssp. howellii,"sandy bluffs, dunes",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Antioch Dunes evening-primrose (FE; SE; CRPR 1B.1, Blooming Period: Mar - Sep; Habitat description: sandy bluffs, dunes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Antioch Dunes evening-primrose (FE; SE; CRPR 1B.1, Blooming Period: Mar - Sep; Habitat description: sandy bluffs, dunes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Antioch Dunes evening-primrose): A qualified botanist will conduct a rare plant survey for Antioch Dunes evening-primrose within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Antioch Dunes evening-primrose): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Apache fritillary,Speyeria nokomis apacheana,"arid habitats, including deserts and grassy areas",Yes,Invertebrate,Formula,Work area,--,Pre-activity Survey Required,"Apache fritillary (INF:SCC; Habitat description: arid habitats, including deserts and grassy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Apache fritillary (INF:SCC; Habitat description: arid habitats, including deserts and grassy areas) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ",General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
aparejo grass,Muhlenbergia utilis,"wet sites along streams, ponds",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
aphanisma,Aphanisma blitoides,"coastal scrub, bluffs, saline sand",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Applegate stonecrop,Sedum oblanceolatum,"dry rocky slopes, sunny outcrops, ridgelines, on serpentine and non-serpentine substrates",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
